"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Ailuridae"
"Access Time","Thu 2017-02-16 07:23:20 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Ailuridae"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.00557"
"Records Found","24"
"Records Returned","24"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"138738","occ","","","11798","Protursus sp.","genus","116932","","Protursus","genus","116932","Turolian","","8.7","5.333","11437"
"190237","occ","7364","","19015","Simocyon primigenius","species","51572","","Simocyon primigenius","species","51572","Hemphillian","","10.3","4.9","3409"
"190341","occ","7415","","19034","Simocyon cf. primigenius","species","51572","","Simocyon primigenius","species","51572","Hemphillian","","10.3","4.9","6294"
"195268","occ","","","20062","Parailurus sp.","genus","41258","","Parailurus","genus","41258","Blancan","","4.9","1.8","3382"
"341613","occ","","","32191","Alopecocyon goeriachensis","species","41192","species not entered","Alopecocyon","genus","41192","Langhian","Serravallian","15.97","11.62","8672"
"414553","occ","","","40113","Parailurus anglicus","species","49860","","Parailurus anglicus","species","43843","Pliocene","","5.333","2.588","10873"
"422035","occ","","","41025","Parailurus hungaricus","species","41258","species not entered","Parailurus","genus","41258","Villanyian","","3.2","2.588","11054"
"422065","occ","","","41026","Parailurus hungaricus","species","41258","species not entered","Parailurus","genus","41258","Villanyian","","3.2","2.588","11054"
"422101","occ","","","41027","Parailurus hungaricus","species","41258","species not entered","Parailurus","genus","41258","Villanyian","","3.2","2.588","11054"
"435540","occ","","","42588","Alopecocyon goeriachensis","species","41192","species not entered","Alopecocyon","genus","41192","Langhian","Serravallian","15.97","11.62","11342"
"489816","occ","","","49360","Parailurus cf. hungaricus","species","41258","species not entered","Parailurus","genus","41258","MN 16","","3.2","2.588","13151"
"592869","occ","","","26574","n. gen. Pristinailurus n. sp. bristoli","species","83132","","Pristinailurus bristoli","species","83132","Late Hemphillian","Blancan","10.3","1.8","18109"
"645287","occ","","","69711","Alopecocyon leptorhynchus","species","41192","species not entered","Alopecocyon","genus","41192","MN 6","","13.65","12.75","23390"
"655633","occ","","","70805","n. gen. Magerictis n. sp. imperialensis","species","97190","","Magerictis imperialensis","species","97190","MN 4","MN 5","16.9","13.65","23741"
"706379","occ","","","36143","Simocyon primigenius","species","51572","","Simocyon primigenius","species","51572","Late Miocene","","11.608","5.333","24838"
"730613","occ","","","78514","Simocyon batalleri","species","116931","","Simocyon batalleri","species","116930","MN 10","","9.7","8.7","26395"
"788810","occ","","","48093","Ailurus anglicus","species","43843","recombined as","Parailurus anglicus","species","43843","Gelasian","","2.588","1.806","28696"
"1241377","occ","","","19515","n. gen. Actiocyon n. sp. leardi","species","43733","recombined as","Alopecocyon leardi","species","43733","Clarendonian","","13.6","10.3","3283"
"1265877","occ","","","75481","Alopecocyon sp.","genus","41192","","Alopecocyon","genus","41192","MN 9","","11.1","9.7","55045"
"1265878","occ","","","75481","Simocyon diaphorus","species","41264","species not entered","Simocyon","genus","41264","MN 9","","11.1","9.7","55045"
"1313285","occ","","","136269","cf. Alopecocyon sp.","genus","41192","","Alopecocyon","genus","41192","MN 4","","16.9","15.97","57907"
"1337775","occ","","","179812","cf. Alopecocyon sp.","genus","41192","","Alopecocyon","genus","41192","Late Oligocene","","28.4","23.03","59924"
"1343134","occ","","","181725","Actiocyon parverratis","species","346772","","Actiocyon parverratis","species","346772","Barstovian","","15.97","13.6","60424"
"1343136","occ","","","181729","Actiocyon n. sp. parverratis","species","346772","","Actiocyon parverratis","species","346772","Barstovian","","15.97","13.6","60424"
