"identified_name","early_interval"
"Protursus sp.","Turolian"
"Simocyon primigenius","Hemphillian"
"Simocyon cf. primigenius","Hemphillian"
"Parailurus sp.","Blancan"
"Alopecocyon goeriachensis","Langhian"
"Parailurus anglicus","Pliocene"
"Parailurus hungaricus","Villanyian"
"Parailurus hungaricus","Villanyian"
"Parailurus hungaricus","Villanyian"
"Alopecocyon goeriachensis","Langhian"
"Parailurus cf. hungaricus","MN 16"
"n. gen. Pristinailurus n. sp. bristoli","Late Hemphillian"
"Alopecocyon leptorhynchus","MN 6"
"n. gen. Magerictis n. sp. imperialensis","MN 4"
"Simocyon primigenius","Late Miocene"
"Simocyon batalleri","MN 10"
"Ailurus anglicus","Gelasian"
"n. gen. Actiocyon n. sp. leardi","Clarendonian"
"Alopecocyon sp.","MN 9"
"Simocyon diaphorus","MN 9"
"cf. Alopecocyon sp.","MN 4"
"cf. Alopecocyon sp.","Late Oligocene"
"Actiocyon parverratis","Barstovian"
"Actiocyon n. sp. parverratis","Barstovian"
